#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
sll1677|31	1	76	3	76	100	1	32.1	12.7
sll0218|192	1	71	2	71	100	1	32.3	31.5
ssr1853|89	1	73	5	73	100	1.9863	31.5	5.4
ssr1853|125	1	75	1	75	100	4.93333	32.2	39
ssr1853|76	1	72	1	71	98.6111	0.986111	29.5	38
slr1413|21	1	76	1	76	100	1	32.2	3
slr1413|93	1	76	1	76	100	1	31.9	23
speA|61	1	71	2	71	100	1	32.1	25
speA|12	1	74	2	74	100	2	32	36
speA|127	1	76	4	76	100	2	31.2	31.5
sll0558|150	1	76	8	76	100	4	31.6	8
phdD|80	1	72	1	72	100	8	32.5	3
phdD|161	1	73	1	73	100	1	33.1	0
slr1787|27	1	73	1	73	100	1	33.4	23
slr1787|48	1	75	1	73	97.3333	0.973333	33.5	42
fecB3|106	1	74	2	74	100	1	32.7	22.5
fecB2|67	1	76	1	76	100	2	31.5	0
fecB2|190	1	75	1	74	98.6667	0.986667	31.8	26
slr1788|161	1	74	1	73	98.6486	0.986486	32.6	24
slr1789|27	1	76	1	75	98.6842	0.986842	31.8	8
crtE|100	1	75	1	75	100	1	32.9	0
crtE|124	1	74	1	74	100	1	31.7	8
crtE|7	1	72	1	70	97.2222	0.972222	32.8	23
mom72|42	1	75	1	74	98.6667	0.986667	32.4	23
mom72|82	1	72	1	72	100	1	31.2	23
mom72|61	1	74	1	74	100	1	32.4	23
mom72|99	1	74	1	74	100	1	30.9	24
slr0238|51	1	72	1	72	100	1	31.8	39
slr0238|107	1	75	1	75	100	1	31.2	8
ctpB|82	1	76	2	76	100	1	32.9	15.5
ctpB|70	1	72	1	72	100	2	32.6	39
mutT|117	1	73	1	73	100	1	33.8	23
mutT|53	1	76	1	76	100	1	31.5	8
mutT|135	1	74	3	73	98.6486	0.986486	30.7	13
rhnB|143	1	72	1	72	100	3	32.3	3
adk|112	1	75	1	74	98.6667	0.986667	32.1	33
adk|23	1	74	1	74	100	1	29.7	3
sll1033|33	1	76	1	76	100	1	29.1	3
sll1033|53	1	71	1	71	100	1	32.8	42
sll1681|98	1	71	1	71	100	1	32.2	23
ndhB|132	1	76	7	76	100	1	32.5	14.3
sll1682|83	1	74	1	74	100	6.98649	32	0
sll1682|134	1	75	1	73	97.3333	0.973333	32.1	0
sll1682|115	1	72	3	71	98.6111	0.986111	31.8	10
sll1686|165	1	71	5	71	100	3	31.8	23
sll1686|180	1	75	1	75	100	5	32	24
sll1037|73	1	73	1	72	98.6301	0.986301	28.1	3
sll1037|21	1	75	3	75	100	1	32.7	8.67
sll1037|46	1	71	2	71	100	3	33.1	13
rne|232	1	74	6	74	100	2	32.6	1
rne|194	1	71	5	71	100	6	32.7	1.8
rne|138	1	71	7	71	100	5	32.4	2.86
rne|82	1	71	1	71	100	7	32.9	23
slr0730|17	1	72	1	72	100	1	32.9	8
slr0730|34	1	74	1	73	98.6486	0.986486	32.6	8
slr0730|60	1	73	2	73	100	1	31.6	6
slr0730|4	1	73	1	73	100	2	33.6	8
hypD|40	1	72	4	72	100	1	33.1	11.8
atpA|98	1	72	1	72	100	4	32.3	23
atpA|178	1	74	1	73	98.6486	0.986486	33.1	8
atpG|175	1	74	2	74	100	1	32.5	4
ssr2972|103	1	72	2	72	100	2	32.7	21.5
ssr2972|47	1	73	1	73	100	1.9726	32.5	24
slr1501|34	1	75	1	75	100	1	30.7	0
slr1774|226	1	75	1	75	100	1	31.7	23
slr1774|91	1	71	1	71	100	1	33.5	23
fhuA|187	1	74	2	74	100	1	31.3	11.5
fhuA|103	1	74	1	74	100	2	32.7	42
fhuA|28	1	75	1	75	100	1	31	3
slr1776|141	1	76	1	76	100	1	32.2	3
slr1776|85	1	72	1	72	100	1	33.4	3
upp|27	1	74	3	73	98.6486	0.986486	32	2.67
slr1415|70	1	74	1	74	100	2.93243	30.9	23
slr1415|12	1	72	1	72	100	1	32.8	0
pchR|4	1	74	1	74	100	1	31.9	4
psb13|56	1	73	1	72	98.6301	0.986301	33.2	3
fus|25	1	74	3	74	100	1	32.1	8
fus|9	1	73	2	73	100	3	32.7	5.5
fus|55	1	72	2	72	100	2	31.7	12
fus|167	1	75	1	75	100	1.98667	32.4	8
llaI_2|444	1	71	1	70	98.5915	0.985915	32.5	3
sll0230|148	1	72	2	72	100	1	32.4	1.5
sll0230|90	1	71	2	71	100	2	32.6	13
msrA2|62	1	71	2	71	100	2	32.5	15.5
msrA2|190	1	74	1	74	100	2	32.8	42
msrA2|151	1	73	1	73	100	1	32.1	8
psaK|112	1	76	1	76	100	1	31.2	3
psaK|136	1	72	2	72	100	1	33.3	3
aroK|259	1	74	2	74	100	1.97297	32.8	23.5
rffM|97	1	73	1	73	100	2	32.8	3
sll1036|42	1	75	2	75	100	1	30.4	0
sll1036|54	1	74	1	74	100	1.97297	31.5	3
sll1036|136	1	71	1	71	100	1	32.6	37
fecD|29	1	71	2	71	100	1	32.5	17
fecD|45	1	76	1	76	100	2	32.3	3
fecD|59	1	73	1	73	100	1	33.2	0
fecD|7	1	73	1	73	100	1	32	8
fecE|65	1	71	2	71	100	1	31.5	23.5
fecE|13	1	72	1	72	100	2	32.2	8
fecB|91	1	75	1	75	100	1	30.8	0
fecB|74	1	72	1	72	100	1	32.9	8
phb|12	1	74	2	73	98.6486	0.986486	32.5	4
ssl2733|187	1	72	1	72	100	2	33.6	27
folK|38	1	72	1	71	98.6111	0.986111	31.5	0
folK|106	1	76	1	76	100	1	30.6	23
folK|75	1	72	2	71	98.6111	0.986111	33.1	22.5
sll1039|78	1	74	1	74	100	2	31.6	24
cysM|40	1	76	5	76	100	1	30	19.8
sll0228|55	1	75	2	75	100	5	32.4	18
sll0228|22	1	71	3	71	100	2	33.7	34
cysH|79	1	76	5	76	100	3	31.9	18.6
cysH|94	1	75	1	75	100	4.98667	31.3	3
sll0224|135	1	76	1	75	98.6842	0.986842	32	23
slr1780|28	1	71	1	71	100	1	32.9	23
slr1780|135	1	76	1	75	98.6842	0.986842	31.3	8
slr1780|244	1	74	1	74	100	1	31.9	23
slr1488|151	1	72	1	72	100	1	31.8	3
slr1488|104	1	74	1	74	100	1	32	15
ccmN|237	1	74	24	73	98.6486	0.986486	32.6	16.1
ccmN|127	1	75	1	75	100	24	31.8	23
cad|27	1	76	1	76	100	1	32.7	8
cad|50	1	74	1	73	98.6486	0.986486	31.8	3
cad|89	1	72	1	72	100	1	32.2	3
ccmK|39	1	74	1	73	98.6486	0.986486	33.5	0
ccmK|76	1	71	1	71	100	1	32.9	40
slr0722|7	1	72	1	71	98.6111	0.986111	29.6	23
slr0722|88	1	76	1	76	100	1	32.4	0
hhoA|9	1	74	3	74	100	1.97297	31.6	4.67
cbiF|165	1	73	2	73	100	2	33.5	8
slr1485|71	1	72	1	72	100	2	33.3	42
slr1485|55	1	73	1	73	100	1	33.7	40
slr1484|144	1	76	2	76	100	1	31.8	16
pheA|114	1	75	1	75	100	2	32.3	0
slr1119|50	1	72	1	72	100	1	30.8	0
slr1119|13	1	71	1	71	100	1	29	8
slr1117|76	1	74	1	73	98.6486	0.986486	33.3	3
slr1117|22	1	73	2	73	100	1	34.2	19.5
slr1113|74	1	72	1	72	100	1.98611	29.4	0
slr1110|117	1	76	2	76	100	1	33.2	1.5
slr1110|106	1	71	3	71	100	2.98592	30.8	13
sll1041|68	1	73	2	73	100	2	31	11.5
sll1041|32	1	74	1	74	100	1.98649	31.4	8
slr0236|25	1	73	1	73	100	1	32.3	23
sll1049|52	1	72	1	72	100	1	30	23
sll1049|185	1	76	1	74	97.3684	0.973684	32.2	23
sll1062|305	1	74	3	74	100	1	31.6	15.3
ssr3000|55	1	74	1	74	100	3	32.8	8
ssr3000|118	1	72	1	71	98.6111	0.986111	32.3	23
atp1|130	1	72	1	72	100	1	33.4	3
atp1|39	1	74	1	74	100	1	30.7	23
sll1203|312	1	73	1	73	100	1	31.9	39
sll1202|231	1	76	1	75	98.6842	0.986842	32.4	0
rfbD2|179	1	76	1	76	100	1	32.1	24
