file_name	sgRNA	numreads
Example_S1_L001_R1	sll1677|130	3
Example_S1_L001_R1	sll0218|192	1
Example_S1_L001_R1	sll0218|8	1
Example_S1_L001_R1	sll0218|39	1
Example_S1_L001_R1	ssr1853|139	3
Example_S1_L001_R1	ssr1853|125	3
Example_S1_L001_R1	ssr1853|76	1
Example_S1_L001_R1	slr1413|21	2
Example_S1_L001_R1	slr1413|62	1
Example_S1_L001_R1	gmk|141	1
Example_S1_L001_R1	sll0558|73	2
Example_S1_L001_R1	sll0558|150	4
Example_S1_L001_R1	phdD|80	1
Example_S1_L001_R1	phdD|139	1
Example_S1_L001_R1	slr1787|27	1
Example_S1_L001_R1	slr1787|48	1
Example_S1_L001_R1	fecB2|118	2
Example_S1_L001_R1	fecB2|145	1
Example_S1_L001_R1	slr1789|97	1
Example_S1_L001_R1	crtE|184	1
Example_S1_L001_R1	crtE|124	1
Example_S1_L001_R1	crtE|76	1
Example_S1_L001_R1	crtE|7	1
Example_S1_L001_R1	mom72|82	3
Example_S1_L001_R1	mom72|61	1
Example_S1_L001_R1	slr0238|107	2
Example_S1_L001_R1	ctpB|82	3
Example_S1_L001_R1	mutT|117	1
Example_S1_L001_R1	rhnB|143	1
Example_S1_L001_R1	adk|23	1
Example_S1_L001_R1	sll1681|98	1
Example_S1_L001_R1	sll1681|167	1
Example_S1_L001_R1	ndhB|132	2
Example_S1_L001_R1	ndhB|148	5
Example_S1_L001_R1	sll1682|83	1
Example_S1_L001_R1	sll1682|134	1
Example_S1_L001_R1	sll1682|115	5
Example_S1_L001_R1	sll1686|180	1
Example_S1_L001_R1	sll1686|214	1
Example_S1_L001_R1	sll1037|73	2
Example_S1_L001_R1	sll1037|46	2
Example_S1_L001_R1	rne|232	5
Example_S1_L001_R1	rne|194	5
Example_S1_L001_R1	rne|138	1
Example_S1_L001_R1	rne|206	2
Example_S1_L001_R1	rne|82	1
Example_S1_L001_R1	slr0730|45	1
Example_S1_L001_R1	atpC|85	5
Example_S1_L001_R1	hypD|73	1
